Symbol,Closed/Total Vol. (Lots),Entry Price,Avg.Price,PnL,Net PnL,Charges/Swap,Opened,Closed,Order,Status
"S
XAUUSD.tv",0.05/0.05,"5,061.63","5,056.52",25.55,25.55,0.00/0.00,20/02/2026 19:18:44,20/02/2026 19:21:04,#421082424,Closed
"S
XAUUSD.tv",0.04/0.04,"5,065.41","5,065.25",0.64,0.64,0.00/0.00,20/02/2026 19:00:25,20/02/2026 19:00:53,#421075739,Closed
"S
XAUUSD.tv",0.04/0.04,"5,066.10","5,062.68",13.68,13.68,0.00/0.00,20/02/2026 18:34:02,20/02/2026 18:38:09,#421067966,Closed
"B
BTCUSD",0.1/0.1,"67,341.11","67,362.82",2.17,2.17,0.00/0.00,20/02/2026 18:30:38,20/02/2026 18:32:50,#421064936,Closed
"S
XAUUSD.tv",0.04/0.04,"5,056.24","5,050.29",23.8,23.8,0.00/0.00,20/02/2026 18:15:21,20/02/2026 18:16:20,#421058844,Closed
"S
XAUUSD.tv",0.09/0.09,"4,995.17","4,996.84",-15.03,-15.03,0.00/0.00,20/02/2026 05:01:42,20/02/2026 05:02:53,#420777457,Closed
"B
XAUUSD.tv",0.07/0.07,"5,009.57","5,009.74",1.19,1.19,0.00/0.00,19/02/2026 17:52:42,19/02/2026 17:55:26,#420630687,Closed
"B
XAUUSD.tv",0.07/0.07,"5,009.83","5,007.44",-16.73,-16.73,0.00/0.00,19/02/2026 17:52:05,19/02/2026 17:52:13,#420630396,Closed
"B
XAUUSD.tv",0.1/0.1,"4,976.12","4,977.04",9.16,9.16,0.00/0.00,19/02/2026 16:12:36,19/02/2026 16:14:35,#420568228,Closed
"S
XAUUSD.tv",0.04/0.04,"4,976.59","4,981.78",-20.76,-20.76,0.00/0.00,18/02/2026 16:32:30,18/02/2026 16:36:58,#420170228,Closed
"S
XAUUSD.tv",0.05/0.05,"4,868.05","4,872.91",-24.3,-24.3,0.00/0.00,18/02/2026 02:30:47,18/02/2026 02:32:09,#419939883,Closed
"S
BTCUSD",0.2/0.2,"67,695.58","67,685.77",1.95,1.95,0.00/0.00,16/02/2026 18:12:37,16/02/2026 18:17:57,#419403463,Closed
"S
XAUUSD.tv",0.1/0.1,"4,981.24","4,979.70",15.45,15.45,0.00/0.00,16/02/2026 17:57:43,16/02/2026 18:01:18,#419397880,Closed
"S
XAUUSD.tv",0.03/0.03,"4,978.92","4,981.47",-7.65,-7.65,0.00/0.00,16/02/2026 17:51:52,16/02/2026 17:54:37,#419395879,Closed
"S
BTCUSD",0.1/0.1,"67,460.59","67,478.69",-1.81,-1.81,0.00/0.00,16/02/2026 17:38:04,16/02/2026 17:47:32,#419391561,Closed
"S
XAUUSD.tv",0.03/0.03,"4,948.97","4,948.23",2.22,2.22,0.00/0.00,12/02/2026 18:46:10,12/02/2026 18:46:28,#418372273,Closed
"B
XAUUSD.tv",0.01/0.01,"4,940.66","4,927.29",-13.37,-13.37,0.00/0.00,12/02/2026 18:32:53,12/02/2026 18:33:30,#418364232,Closed
"B
XAUUSD.tv",0.02/0.02,"4,935.87","4,936.79",1.84,1.84,0.00/0.00,12/02/2026 18:32:09,12/02/2026 18:32:28,#418363606,Closed
"B
XAUUSD.tv",0.02/0.02,"4,925.93","4,925.78",-0.3,-0.3,0.00/0.00,12/02/2026 18:31:25,12/02/2026 18:31:39,#418362959,Closed
"B
XAUUSD.tv",0.02/0.02,"4,909.23","4,917.79",17.12,17.12,0.00/0.00,12/02/2026 18:30:23,12/02/2026 18:31:06,#418361677,Closed
"B
XAUUSD.tv",0.1/0.1,"4,920.54","4,924.92",43.8,43.8,0.00/0.00,12/02/2026 18:23:13,12/02/2026 18:23:18,#418354472,Closed
"S
XAUUSD.tv",0.1/0.1,"4,909.43","4,915.03",-56,-56,0.00/0.00,12/02/2026 18:22:53,12/02/2026 18:23:01,#418354209,Closed
"S
XAUUSD.tv",0.1/0.1,"4,908.84","4,913.39",-45.5,-45.5,0.00/0.00,12/02/2026 18:22:21,12/02/2026 18:22:27,#418353806,Closed
"S
XAUUSD.tv",0.1/0.1,"4,921.55","4,920.86",6.9,6.9,0.00/0.00,12/02/2026 18:20:51,12/02/2026 18:20:53,#418352295,Closed
"S
XAUUSD.tv",0.1/0.1,"4,927.38","4,929.25",-18.7,-18.7,0.00/0.00,12/02/2026 18:20:33,12/02/2026 18:20:34,#418352040,Closed
"B
XAUUSD.tv",0.1/0.1,"4,937.20","4,940.47",32.7,32.7,0.00/0.00,12/02/2026 18:19:19,12/02/2026 18:19:25,#418350822,Closed
"B
XAUUSD.tv",0.1/0.1,"4,929.06","4,928.20",-8.6,-8.6,0.00/0.00,12/02/2026 18:18:49,12/02/2026 18:18:54,#418350242,Closed
"S
XAUUSD.tv",0.1/0.1,"4,917.44","4,924.40",-69.6,-69.6,0.00/0.00,12/02/2026 18:18:25,12/02/2026 18:18:32,#418349876,Closed
"S
XAUUSD.tv",0.1/0.1,"4,926.15","4,926.63",-4.8,-4.8,0.00/0.00,12/02/2026 18:18:00,12/02/2026 18:18:04,#418349295,Closed
"S
XAUUSD.tv",0.1/0.1,"4,923.36","4,925.18",-18.2,-18.2,0.00/0.00,12/02/2026 18:17:41,12/02/2026 18:17:45,#418348922,Closed
"S
XAUUSD.tv",0.1/0.1,"4,980.40","4,975.24",51.6,51.6,0.00/0.00,12/02/2026 18:14:06,12/02/2026 18:14:08,#418342702,Closed
"S
XAUUSD.tv",0.1/0.1,"4,991.04","4,989.32",17.2,17.2,0.00/0.00,12/02/2026 18:13:36,12/02/2026 18:13:52,#418342064,Closed
"B
XAUUSD.tv",0.05/0.05,"5,070.12","5,067.31",-14.05,-14.05,0.00/0.00,09/02/2026 19:33:24,09/02/2026 19:36:38,#416881680,Closed
"B
XAUUSD.tv",0.05/0.05,"5,070.23","5,068.01",-11.1,-11.1,0.00/0.00,09/02/2026 19:25:33,09/02/2026 19:27:48,#416879918,Closed
"B
XAUUSD.tv",0.05/0.05,"5,063.73","5,064.28",2.73,2.73,0.00/0.00,09/02/2026 19:10:01,09/02/2026 19:12:42,#416875243,Closed
"B
XAUUSD.tv",0.05/0.05,"5,072.43","5,069.22",-16.05,-16.05,0.00/0.00,09/02/2026 19:06:04,09/02/2026 19:06:27,#416873204,Closed
"B
XAUUSD.tv",0.02/0.02,"5,075.43","5,072.80",-5.26,-5.26,0.00/0.00,09/02/2026 18:57:04,09/02/2026 18:59:21,#416868860,Closed
"B
XAUUSD.tv",0.02/0.02,"5,074.04","5,073.48",-1.13,-1.13,0.00/0.00,09/02/2026 18:41:09,09/02/2026 18:56:11,#416862133,Closed
"B
XAUUSD.tv",0.02/0.02,"5,067.66","5,074.21",13.09,13.09,0.00/0.00,09/02/2026 18:09:24,09/02/2026 18:32:22,#416845684,Closed
"B
XAUUSD.tv",0.02/0.02,"5,076.37","5,073.88",-4.98,-4.98,0.00/0.00,09/02/2026 18:31:01,09/02/2026 18:31:24,#416856627,Closed
"B
BTCUSD",0.1/0.1,"69,410.68","69,466.76",5.61,5.61,0.00/0.00,09/02/2026 17:53:37,09/02/2026 17:56:46,#416838423,Closed
"S
BTCUSD",0.03/0.03,"70,798.34","70,842.39",-1.32,-1.32,0.00/0.00,09/02/2026 4:41:09,09/02/2026 5:06:35,#416519448,Closed
"B
BTCUSD",0.05/0.05,"71,377.66","71,291.54",-4.3,-4.3,0.00/0.00,08/02/2026 15:51:20,08/02/2026 16:09:36,#416382601,Closed
"B
BTCUSD",0.2/0.2,"71,335.53","71,343.36",1.56,1.56,0.00/0.00,08/02/2026 15:42:26,08/02/2026 15:43:46,#416382007,Closed
"B
BTCUSD",0.2/0.2,"71,393.76","71,267.35",-25.28,-25.28,0.00/0.00,08/02/2026 15:37:03,08/02/2026 15:38:17,#416381479,Closed
"S
BTCUSD",0.15/0.15,"70,318.30","70,419.31",-15.15,-15.15,0.00/0.00,08/02/2026 12:12:56,08/02/2026 12:16:13,#416365683,Closed
"B
BTCUSD",0.15/0.15,"70,218.57","70,196.28",-3.35,-3.35,0.00/0.00,08/02/2026 11:45:26,08/02/2026 11:51:02,#416364177,Closed
"S
BTCUSD",0.1/0.1,"69,554.31","69,222.69",33.16,33.16,0.00/0.00,07/02/2026 18:08:06,07/02/2026 18:08:30,#416300836,Closed
"S
BTCUSD",0.1/0.1,"69,069.59","69,212.84",-14.32,-14.32,0.00/0.00,07/02/2026 17:53:46,07/02/2026 18:00:24,#416298717,Closed
"B
BTCUSD",0.08/0.08,"68,934.36","68,936.54",0.18,0.18,0.00/0.00,07/02/2026 14:55:20,07/02/2026 14:58:44,#416280065,Closed
"B
BTCUSD",0.08/0.08,"69,067.27","68,959.45",-8.62,-8.62,0.00/0.00,07/02/2026 14:51:58,07/02/2026 14:52:40,#416279517,Closed
"S
XAUUSD.tv",0.02/0.02,"4,864.67","4,864.63",0.08,0.08,0.00/0.00,05/02/2026 20:31:22,05/02/2026 20:31:58,#415577129,Closed
"S
BTCUSD",0.2/0.2,"66,108.89","66,094.52",2.88,2.88,0.00/0.00,05/02/2026 20:16:55,05/02/2026 20:17:42,#415569530,Closed
"S
BTCUSD",0.2/0.2,"66,323.69","66,308.67",3.01,3.01,0.00/0.00,05/02/2026 20:09:18,05/02/2026 20:09:57,#415566198,Closed
"S
ETHUSD",1/1,"1,957.17","1,967.63",-10.46,-10.46,0.00/0.00,05/02/2026 20:06:24,05/02/2026 20:07:16,#415565401,Closed
"S
BTCUSD",0.1/0.1,"66,789.19","66,750.32",3.88,3.88,0.00/0.00,05/02/2026 19:51:55,05/02/2026 19:53:28,#415559352,Closed
"B
BTCUSD",0.02/0.02,"66,888.24","67,246.16",7.16,7.16,0.00/0.00,05/02/2026 19:22:37,05/02/2026 19:26:51,#415544889,Closed
"B
XAUUSD.tv",0.02/0.02,"4,852.82","4,855.62",5.6,5.6,0.00/0.00,05/02/2026 5:13:49,05/02/2026 5:14:20,#415155354,Closed
"B
XAUUSD.tv",0.02/0.02,"4,852.10","4,855.23",6.26,6.26,0.00/0.00,05/02/2026 5:11:02,05/02/2026 5:11:41,#415154404,Closed
"S
XAUUSD.tv",0.01/0.01,"4,832.99","4,844.05",-11.06,-11.06,0.00/0.00,05/02/2026 5:05:23,05/02/2026 5:05:50,#415151796,Closed
"B
XAUUSD.tv",0.02/0.02,"4,847.63","4,839.61",-16.04,-16.04,0.00/0.00,05/02/2026 4:56:44,05/02/2026 4:57:06,#415146287,Closed
"B
XAUUSD.tv",0.01/0.01,"4,918.11","4,910.97",-7.14,-7.14,0.00/0.00,05/02/2026 4:19:19,05/02/2026 4:19:47,#415125404,Closed
"B
XAUUSD.tv",0.02/0.02,"4,943.28","4,940.28",-6,-6,0.00/0.00,05/02/2026 4:08:24,05/02/2026 4:09:12,#415118763,Closed
"B
XAUUSD.tv",0.01/0.01,"4,912.43","4,900.52",-11.91,-11.91,0.00/0.00,04/02/2026 19:36:07,04/02/2026 19:45:54,#414972201,Closed
"B
XAUUSD.tv",0.02/0.02,"4,914.80","4,906.78",-16.04,-16.04,0.00/0.00,04/02/2026 19:21:38,04/02/2026 19:22:12,#414963693,Closed
"B
XAUUSD.tv",0.03/0.03,"4,920.74","4,917.58",-9.49,-9.49,0.00/0.00,04/02/2026 19:15:08,04/02/2026 19:17:44,#414960457,Closed
"B
XAUUSD.tv",0.01/0.01,"4,915.18","4,900.03",-15.15,-15.15,0.00/0.00,04/02/2026 19:05:16,04/02/2026 19:07:07,#414955116,Closed
"B
XAUUSD.tv",0.02/0.02,"4,887.37","4,893.23",11.72,11.72,0.00/0.00,04/02/2026 18:50:37,04/02/2026 19:00:05,#414945633,Closed
"S
XAUUSD.tv",0.02/0.02,"4,917.59","4,898.68",37.83,37.83,0.00/0.00,04/02/2026 18:37:03,04/02/2026 18:46:46,#414936263,Closed
"S
XAUUSD.tv",0.02/0.02,"4,919.09","4,903.26",31.66,31.66,0.00/0.00,04/02/2026 18:17:06,04/02/2026 18:27:02,#414924332,Closed
"S
XAUUSD.tv",0.02/0.02,"4,953.74","4,952.04",3.4,3.4,0.00/0.00,03/02/2026 19:05:06,03/02/2026 19:05:25,#414404243,Closed
"S
XAUUSD.tv",0.02/0.02,"4,951.98","4,949.90",4.16,4.16,0.00/0.00,03/02/2026 19:00:23,03/02/2026 19:00:33,#414401979,Closed
"S
XAUUSD.tv",0.02/0.02,"4,957.44","4,959.47",-4.06,-4.06,0.00/0.00,03/02/2026 18:59:17,03/02/2026 19:00:05,#414401393,Closed
"S
XAUUSD.tv",0.02/0.02,"4,988.98","4,979.79",18.39,18.39,0.00/0.00,03/02/2026 18:40:23,03/02/2026 18:47:14,#414391653,Closed
"S
XAUUSD.tv",0.01/0.01,"4,919.73","4,923.62",-3.89,-3.89,0.00/0.00,03/02/2026 17:46:07,03/02/2026 17:47:34,#414364776,Closed
"S
XAUUSD.tv",0.02/0.02,"4,920.65","4,919.25",2.8,2.8,0.00/0.00,03/02/2026 17:30:31,03/02/2026 17:31:37,#414358400,Closed
"B
XAUUSD.tv",0.01/0.01,"4,837.41","4,828.97",-8.44,-8.44,0.00/0.00,03/02/2026 3:48:23,03/02/2026 3:49:24,#414062930,Closed
"B
XAUUSD.tv",0.01/0.01,"4,841.73","4,832.58",-9.15,-9.15,0.00/0.00,03/02/2026 3:40:14,03/02/2026 3:41:30,#414060923,Closed
"B
BTCUSD",0.05/0.05,"78,862.13","78,665.39",-9.84,-9.84,0.00/0.00,02/02/2026 18:02:59,02/02/2026 18:05:14,#413886565,Closed
"B
BTCUSD",0.05/0.05,"78,863.94","78,756.08",-5.4,-5.4,0.00/0.00,02/02/2026 17:58:14,02/02/2026 17:59:41,#413882993,Closed
"B
BTCUSD",0.05/0.05,"79,044.84","78,878.14",-8.33,-8.33,0.00/0.00,02/02/2026 17:45:52,02/02/2026 17:50:37,#413874140,Closed
"S
XAUUSD.tv",0.01/0.01,"4,741.06","4,747.72",-6.66,-6.66,0.00/0.00,02/02/2026 15:26:14,02/02/2026 15:26:26,#413773421,Closed
"S
XAUUSD.tv",0.01/0.01,"4,762.43","4,760.91",1.52,1.52,0.00/0.00,02/02/2026 15:01:07,02/02/2026 15:01:13,#413757675,Closed
