Symbol,Closed/Total Vol. (Lots),Entry Price,Avg.Price,PnL,Net PnL,Charges/Swap,Opened,Closed,Order,Status
"B
XAUUSD.tv",0.01/0.01,"4,746.15","4,748.02",1.87,1.87,0.00/0.00,02/02/2026 13:17:19,02/02/2026 13:21:14,#413718240,Closed
"B
XAUUSD.tv",0.01/0.01,"4,690.51","4,678.36",-12.15,-12.15,0.00/0.00,02/02/2026 12:40:48,02/02/2026 12:41:22,#413705199,Closed
"B
XAUUSD.tv",0.01/0.01,"4,680.32","4,670.56",-9.76,-9.76,0.00/0.00,02/02/2026 12:29:22,02/02/2026 12:36:54,#413700041,Closed
"B
XAUUSD.tv",0.01/0.01,"4,720.49","4,710.60",-9.89,-9.89,0.00/0.00,02/02/2026 12:08:54,02/02/2026 12:20:21,#413692399,Closed
"B
XAUUSD.tv",0.01/0.01,"4,635.75","4,670.24",34.49,34.49,0.00/0.00,02/02/2026 11:16:58,02/02/2026 11:26:02,#413669305,Closed
"B
XAUUSD.tv",0.01/0.01,"4,633.85","4,635.47",1.62,1.62,0.00/0.00,02/02/2026 11:10:00,02/02/2026 11:10:53,#413666655,Closed
"B
XAUUSD.tv",0.01/0.01,"4,621.11","4,622.10",0.99,0.99,0.00/0.00,02/02/2026 11:03:50,02/02/2026 11:08:14,#413664482,Closed
"S
BTCUSD",0.07/0.07,"78,424.82","78,439.06",-1,-1,0.00/0.00,01/02/2026 13:10:32,01/02/2026 13:14:01,#413317483,Closed
"S
BTCUSD",0.05/0.05,"78,438.82","78,310.54",6.41,6.41,0.00/0.00,01/02/2026 12:54:32,01/02/2026 12:55:38,#413316434,Closed
"S
BTCUSD",0.05/0.05,"78,385.17","78,528.78",-7.18,-7.18,0.00/0.00,01/02/2026 12:44:34,01/02/2026 12:50:05,#413315825,Closed
"S
BTCUSD",0.05/0.05,"80,822.07","80,644.87",8.85,8.85,0.00/0.00,31/01/2026 18:16:16,31/01/2026 18:17:20,#413235506,Closed
"S
BTCUSD",0.05/0.05,"81,334.51","80,960.76",18.7,18.7,0.00/0.00,31/01/2026 18:06:07,31/01/2026 18:17:20,#413233687,Closed
"B
BTCUSD",0.05/0.05,"81,291.20","81,163.89",-6.37,-6.37,0.00/0.00,31/01/2026 17:26:37,31/01/2026 17:28:22,#413230894,Closed
"S
BTCUSD",0.05/0.05,"84,110.62","84,107.61",0.15,0.15,0.00/0.00,29/01/2026 19:56:41,29/01/2026 19:58:45,#412479827,Closed
"S
BTCUSD",0.06/0.06,"85,510.71","85,338.26",10.34,10.34,0.00/0.00,29/01/2026 19:22:12,29/01/2026 19:23:41,#412457469,Closed
"S
XAUUSD.tv",0.01/0.01,"5,264.00","5,260.66",3.34,3.34,0.00/0.00,29/01/2026 18:35:52,29/01/2026 18:36:24,#412428014,Closed
"S
XAUUSD.tv",0.1/0.1,"5,291.58","5,282.76",88.2,88.2,0.00/0.00,29/01/2026 18:34:08,29/01/2026 18:34:38,#412426363,Closed
"S
XAUUSD.tv",0.01/0.01,"5,244.81","5,271.83",-27.02,-27.02,0.00/0.00,29/01/2026 18:23:15,29/01/2026 18:25:03,#412418497,Closed
"B
XAUUSD.tv",0.01/0.01,"5,265.94","5,266.58",0.64,0.64,0.00/0.00,29/01/2026 18:13:49,29/01/2026 18:14:10,#412410965,Closed
"B
XAUUSD.tv",0.1/0.1,"5,251.14","5,253.57",24.3,24.3,0.00/0.00,29/01/2026 18:05:44,29/01/2026 18:05:52,#412404441,Closed
"B
XAUUSD.tv",0.02/0.02,"5,518.20","5,509.43",-17.54,-17.54,0.00/0.00,29/01/2026 12:18:00,29/01/2026 12:20:57,#412161238,Closed
"B
XAUUSD.tv",0.02/0.02,"5,517.65","5,515.31",-4.68,-4.68,0.00/0.00,29/01/2026 12:16:21,29/01/2026 12:17:08,#412160678,Closed
"B
XAUUSD.tv",0.01/0.01,"5,515.09","5,523.45",8.36,8.36,0.00/0.00,29/01/2026 12:11:26,29/01/2026 12:15:43,#412158486,Closed
"B
XAUUSD.tv",0.01/0.01,"5,517.61","5,511.41",-6.2,-6.2,0.00/0.00,29/01/2026 11:47:30,29/01/2026 11:58:03,#412149725,Closed
"B
XAUUSD.tv",0.01/0.01,"5,509.94","5,511.78",1.84,1.84,0.00/0.00,29/01/2026 11:11:08,29/01/2026 11:58:01,#412137468,Closed
"B
XAUUSD.tv",0.01/0.01,"5,524.97","5,517.40",-7.57,-7.57,0.00/0.00,29/01/2026 11:44:59,29/01/2026 11:47:02,#412148682,Closed
"S
XAUUSD.tv",0.01/0.01,"5,547.96","5,557.69",-9.73,-9.73,0.00/0.00,29/01/2026 09:30:49,29/01/2026 09:36:06,#412091315,Closed
"S
XAUUSD.tv",0.02/0.02,"5,580.63","5,585.96",-10.66,-10.66,0.00/0.00,29/01/2026 08:38:03,29/01/2026 08:43:48,#412073745,Closed
"S
XAUUSD.tv",0.01/0.01,"5,296.38","5,298.72",-2.34,-2.34,0.00/0.00,28/01/2026 19:22:00,28/01/2026 19:22:18,#411767232,Closed
"B
XAUUSD.tv",0.01/0.01,"5,293.78","5,295.97",2.19,2.19,0.00/0.00,28/01/2026 18:56:28,28/01/2026 18:57:16,#411758393,Closed
"B
XAUUSD.tv",0.01/0.01,"5,282.23","5,291.16",8.93,8.93,0.00/0.00,28/01/2026 18:42:13,28/01/2026 18:47:32,#411752749,Closed
"S
XAUUSD.tv",0.01/0.01,"5,279.35","5,279.96",-0.61,-0.61,0.00/0.00,28/01/2026 18:05:13,28/01/2026 18:05:37,#411738421,Closed
"S
BTCUSD",0.02/0.02,"89,402.14","89,585.66",-3.67,-3.67,0.00/0.00,28/01/2026 17:52:16,28/01/2026 17:55:15,#411732886,Closed
"B
XAUUSD.tv",0.01/0.01,"5,279.02","5,280.67",1.65,1.65,0.00/0.00,28/01/2026 17:40:59,28/01/2026 17:44:19,#411727091,Closed
"S
XAUUSD.tv",0.01/0.01,"5,272.32","5,276.89",-4.57,-4.57,0.00/0.00,28/01/2026 09:12:26,28/01/2026 09:16:33,#411478262,Closed
"B
XAUUSD.tv",0.01/0.01,"5,259.39","5,262.26",2.87,2.87,0.00/0.00,28/01/2026 08:48:04,28/01/2026 08:49:59,#411470480,Closed
"B
XAUUSD.tv",0.01/0.01,"5,089.58","5,086.34",-3.24,-3.24,0.00/0.00,27/01/2026 18:43:20,27/01/2026 18:43:31,#411240210,Closed
"S
BTCUSD",0.05/0.05,"87,655.69","87,696.88",-2.06,-2.06,0.00/0.00,27/01/2026 17:31:59,27/01/2026 17:32:03,#411210104,Closed
"B
XAUUSD.tv",0.02/0.02,"5,080.81","5,078.00",-5.62,-5.62,0.00/0.00,27/01/2026 13:47:23,27/01/2026 13:48:22,#411063354,Closed
"S
XAUUSD.tv",0.01/0.01,"5,081.31","5,085.82",-4.51,-4.51,0.00/0.00,27/01/2026 07:56:05,27/01/2026 08:01:04,#410982137,Closed
"B
XAUUSD.tv",0.01/0.01,"5,046.05","5,046.33",0.28,0.28,0.00/0.00,27/01/2026 01:19:16,27/01/2026 02:23:08,#410898616,Closed
"B
XAUUSD.tv",0.01/0.01,"5,092.60","5,095.85",3.25,3.25,0.00/0.00,26/01/2026 19:37:22,26/01/2026 19:41:14,#410795512,Closed
"B
XAUUSD.tv",0.01/0.01,"5,085.71","5,087.64",1.93,1.93,0.00/0.00,26/01/2026 19:27:26,26/01/2026 19:30:11,#410791484,Closed
"B
XAUUSD.tv",0.01/0.01,"5,093.78","5,088.06",-5.72,-5.72,0.00/0.00,26/01/2026 19:20:41,26/01/2026 19:24:02,#410788720,Closed
"S
XAUUSD.tv",0.02/0.02,"5,078.11","5,073.40",9.43,9.43,0.00/0.00,26/01/2026 18:38:04,26/01/2026 18:41:00,#410771556,Closed
"S
XAUUSD.tv",0.03/0.03,"5,075.87","5,074.94",2.79,2.79,0.00/0.00,26/01/2026 18:36:23,26/01/2026 18:36:55,#410771040,Closed
"B
XAUUSD.tv",0.03/0.03,"5,074.46","5,074.93",1.41,1.41,0.00/0.00,26/01/2026 18:32:35,26/01/2026 18:33:03,#410769212,Closed
"S
XAUUSD.tv",0.02/0.02,"5,084.43","5,086.68",-4.5,-4.5,0.00/0.00,26/01/2026 12:11:35,26/01/2026 12:12:51,#410611521,Closed
"S
XAUUSD.tv",0.03/0.03,"5,082.06","5,082.08",-0.05,-0.05,0.00/0.00,26/01/2026 12:01:27,26/01/2026 12:03:26,#410608343,Closed
"S
XAUUSD.tv",0.02/0.02,"5,096.37","5,090.19",12.36,12.36,0.00/0.00,26/01/2026 11:37:35,26/01/2026 11:40:47,#410597674,Closed
"B
XAUUSD.tv",0.02/0.02,"5,067.48","5,061.33",-12.3,-12.3,0.00/0.00,26/01/2026 06:39:59,26/01/2026 06:45:38,#410507022,Closed
"B
BTCUSD",0.1/0.1,"90,332.68","90,162.63",-17.01,-17.01,0.00/0.00,23/01/2026 18:41:34,23/01/2026 18:42:24,#410186505,Closed
"S
XAUUSD.tv",0.03/0.03,"4,980.32","4,981.58",-3.78,-3.78,0.00/0.00,23/01/2026 18:39:33,23/01/2026 18:40:01,#410185704,Closed
"S
XAUUSD.tv",0.03/0.03,"4,982.71","4,981.63",3.24,3.24,0.00/0.00,23/01/2026 18:33:38,23/01/2026 18:34:16,#410182412,Closed
"B
XAUUSD.tv",0.03/0.03,"4,981.78","4,983.84",6.19,6.19,0.00/0.00,23/01/2026 18:25:21,23/01/2026 18:28:58,#410177280,Closed
"B
XAUUSD.tv",0.03/0.03,"4,973.00","4,976.01",9.03,9.03,0.00/0.00,23/01/2026 18:13:26,23/01/2026 18:17:31,#410171466,Closed
"B
XAUUSD.tv",0.01/0.01,"4,945.29","4,949.21",3.92,3.92,0.00/0.00,23/01/2026 17:20:59,23/01/2026 17:30:42,#410144965,Closed
"B
XAUUSD.tv",0.05/0.05,"4,945.50","4,946.20",3.5,3.5,0.00/0.00,23/01/2026 17:30:03,23/01/2026 17:30:22,#410148952,Closed
"B
XAGUSD.tv",0.01/0.01,99.47,99.52,2.2,2.2,0.00/0.00,23/01/2026 15:15:52,23/01/2026 15:16:15,#410079677,Closed
"S
XAUUSD.tv",0.01/0.01,"4,911.18","4,910.67",0.51,0.51,0.00/0.00,23/01/2026 11:32:55,23/01/2026 11:33:49,#410014732,Closed
"B
XAUUSD.tv",0.05/0.05,"4,939.88","4,935.43",-22.25,-22.25,0.00/0.00,23/01/2026 10:19:54,23/01/2026 10:20:34,#409974172,Closed
"B
XAUUSD.tv",0.2/0.2,"4,952.09","4,952.29",4,4,0.00/0.00,23/01/2026 08:31:52,23/01/2026 08:31:59,#409943989,Closed
"B
XAUUSD.tv",0.2/0.2,"4,954.58","4,954.68",2,2,0.00/0.00,23/01/2026 08:30:48,23/01/2026 08:30:55,#409943723,Closed
"S
XAUUSD.tv",0.05/0.05,"4,958.32","4,960.18",-9.3,-9.3,0.00/0.00,23/01/2026 07:25:03,23/01/2026 07:30:23,#409930286,Closed
"B
XAUUSD.tv",0.1/0.1,"4,943.36","4,939.98",-33.8,-33.8,0.00/0.00,23/01/2026 05:25:48,23/01/2026 05:26:36,#409916868,Closed
"B
XAUUSD.tv",0.1/0.1,"4,944.46","4,943.48",-9.8,-9.8,0.00/0.00,23/01/2026 05:24:10,23/01/2026 05:24:36,#409916510,Closed
"B
XAUUSD.tv",0.1/0.1,"4,945.21","4,945.57",3.6,3.6,0.00/0.00,23/01/2026 05:23:11,23/01/2026 05:23:20,#409916243,Closed
"B
XAUUSD.tv",0.01/0.01,"4,957.30","4,951.33",-5.97,-5.97,0.00/0.00,23/01/2026 05:05:21,23/01/2026 05:16:54,#409912671,Closed
"B
XAUUSD.tv",0.01/0.01,"4,953.29","4,955.83",2.54,2.54,0.00/0.00,23/01/2026 04:03:53,23/01/2026 04:59:38,#409904129,Closed
"B
XAUUSD.tv",0.01/0.01,"4,952.30","4,953.58",1.28,1.28,0.00/0.00,23/01/2026 03:16:54,23/01/2026 03:59:11,#409894620,Closed
"B
XAUUSD.tv",0.1/0.1,"4,946.83","4,947.47",6.4,6.4,0.00/0.00,23/01/2026 03:11:43,23/01/2026 03:12:51,#409893220,Closed
"B
XAUUSD.tv",0.1/0.1,"4,940.85","4,941.57",7.2,7.2,0.00/0.00,23/01/2026 03:06:06,23/01/2026 03:06:10,#409891581,Closed
"B
XAUUSD.tv",0.1/0.1,"4,944.85","4,941.29",-35.6,-35.6,0.00/0.00,23/01/2026 03:05:14,23/01/2026 03:05:53,#409891299,Closed
"B
XAUUSD.tv",0.1/0.1,"4,958.99","4,962.97",39.8,39.8,0.00/0.00,23/01/2026 03:00:13,23/01/2026 03:00:33,#409887159,Closed
"B
BTCUSD",0.07/0.07,"89,405.21","89,191.26",-14.97,-14.97,0.00/0.00,22/01/2026 19:20:57,22/01/2026 19:25:49,#409778935,Closed
"B
XAUUSD.tv",0.02/0.02,"4,876.21","4,871.52",-9.38,-9.38,0.00/0.00,22/01/2026 18:10:45,22/01/2026 18:16:16,#409750702,Closed
"B
XAUUSD.tv",0.02/0.02,"4,873.00","4,868.05",-9.9,-9.9,0.00/0.00,22/01/2026 18:04:21,22/01/2026 18:07:40,#409747858,Closed
"B
XAUUSD.tv",0.04/0.04,"4,870.85","4,873.08",8.9,8.9,0.00/0.00,22/01/2026 17:52:56,22/01/2026 18:00:34,#409741915,Closed
"B
XAUUSD.tv",0.04/0.04,"4,869.70","4,870.40",2.8,2.8,0.00/0.00,22/01/2026 17:52:10,22/01/2026 17:52:30,#409741125,Closed
"B
BTCUSD",0.1/0.1,"89,015.47","89,153.43",13.79,13.79,0.00/0.00,22/01/2026 17:43:50,22/01/2026 17:44:55,#409736868,Closed
"B
XAUUSD.tv",0.01/0.01,"4,831.60","4,831.76",0.16,0.16,0.00/0.00,22/01/2026 14:37:06,22/01/2026 14:37:46,#409631359,Closed
"B
USOUSD.tv",0.05/0.05,59.87,59.69,-8.7,-8.7,0.00/0.00,22/01/2026 13:52:19,22/01/2026 14:09:12,#409618365,Closed
"B
XAUUSD.tv",0.5/0.5,"4,822.25","4,822.14",-5.5,-5.5,0.00/0.00,22/01/2026 12:10:22,22/01/2026 12:11:06,#409594752,Closed
"B
XAUUSD.tv",0.08/0.08,"4,815.39","4,817.80",19.28,19.28,0.00/0.00,22/01/2026 11:44:34,22/01/2026 11:45:32,#409588597,Closed
"B
XAUUSD.tv",0.1/0.1,"4,824.41","4,826.21",18,18,0.00/0.00,22/01/2026 10:39:20,22/01/2026 10:39:48,#409569568,Closed